Many,Normal,Normal,Few,Many,Many,Few,Entertainment,Few,Few,Few,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Normal,Normal,Few,Normal,Few,Many,Few,Tech,Many,Many,Many,Monday,Unpopular
Few,Many,Many,Many,Many,Many,Normal,Lifestyle,Few,Many,Normal,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Normal,Few,Few,Few,Few,Many,Many,Tech,Few,Few,Few,Monday,Popular
Normal,Few,Many,Many,Many,Many,Many,World,Few,Few,Few,Monday,Unpopular
Many,Many,Normal,Few,Many,Many,Normal,World,Few,Few,Few,Monday,Popular
Normal,Few,Normal,Few,Many,Many,Normal,Lifestyle,Few,Few,Few,Monday,Popular
Many,Normal,Normal,Few,Many,Many,Normal,World,Few,Few,Few,Monday,Popular
Few,Normal,Normal,Few,Many,Many,Many,Business,Few,Few,Few,Monday,Popular
Normal,Few,Few,Many,Many,Many,Normal,Lifestyle,Many,Normal,Normal,Monday,Popular
Few,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Many,Normal,Normal,Normal,Many,Many,Many,World,Normal,Few,Few,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Normal,Few,Few,Many,Many,Many,Normal,World,Many,Many,Many,Monday,Popular
Many,Few,Few,Normal,Many,Many,Few,Business,Many,Normal,Normal,Monday,Unpopular
Few,Normal,Normal,Normal,Many,Many,Few,Tech,Normal,Few,Few,Monday,Unpopular
Few,Normal,Normal,Normal,Many,Many,Normal,Tech,Normal,Normal,Normal,Monday,Popular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Normal,Few,Few,Many,Few,Many,Few,Lifestyle,Few,Few,Few,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Many,Business,Few,Few,Few,Monday,Unpopular
Few,Normal,Normal,Normal,Many,Many,Normal,Business,Many,Normal,Many,Monday,Popular
Normal,Normal,Few,Normal,Many,Many,Many,Tech,Few,Few,Few,Monday,Popular
Many,Normal,Few,Few,Many,Many,Few,Tech,Few,Few,Few,Monday,Unpopular
Few,Few,Normal,Normal,Many,Many,Normal,Lifestyle,Few,Few,Few,Monday,Popular
Normal,Normal,Many,Many,Many,Many,Few,Lifestyle,Many,Normal,Many,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Few,Normal,Normal,Many,Few,Many,Normal,Social Media,Normal,Normal,Normal,Monday,Popular
Normal,Many,Normal,Many,Many,Many,Normal,World,Few,Normal,Few,Monday,Unpopular
Many,Few,Many,Many,Few,Many,Normal,Entertainment,Many,Normal,Many,Monday,Popular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Few,Few,Few,Few,Many,Many,Normal,Tech,Few,Few,Few,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Normal,Few,Few,Many,Many,Many,Few,Business,Few,Few,Few,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Normal,Lifestyle,Few,Many,Normal,Monday,Unpopular
Many,Few,Normal,Many,Few,Many,Few,Entertainment,Few,Many,Many,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Normal,Few,Few,Many,Few,Many,Normal,Tech,Few,Few,Few,Monday,Popular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Normal,Normal,Normal,Normal,Many,Many,Many,Entertainment,Few,Few,Few,Monday,Popular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Popular
Normal,Normal,Normal,Many,Many,Many,Many,Tech,Normal,Normal,Normal,Monday,Popular
Few,Few,Normal,Many,Few,Many,Normal,Tech,Normal,Normal,Normal,Monday,Unpopular
Many,Normal,Normal,Many,Many,Many,Normal,Business,Few,Normal,Normal,Monday,Unpopular
Many,Normal,Normal,Many,Many,Many,Few,Tech,Normal,Many,Normal,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Many,Few,Few,Many,Many,Many,Few,Tech,Few,Few,Few,Monday,Unpopular
Many,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Many,Normal,Few,Many,Many,Many,Few,Tech,Few,Few,Few,Monday,Unpopular
Normal,Many,Many,Many,Many,Many,Normal,Tech,Few,Many,Normal,Monday,Unpopular
Few,Normal,Few,Normal,Many,Many,Few,Tech,Few,Few,Few,Monday,Popular
Few,Normal,Few,Many,Many,Many,Normal,Tech,Few,Few,Few,Monday,Unpopular
Normal,Normal,Normal,Many,Many,Many,Many,World,Few,Normal,Normal,Monday,Popular
Many,Few,Many,Normal,Many,Many,Many,Entertainment,Normal,Normal,Normal,Monday,Unpopular
Few,Few,Few,Normal,Many,Many,Normal,Business,Normal,Few,Few,Monday,Unpopular
Normal,Normal,Normal,Few,Many,Many,Normal,World,Few,Few,Few,Monday,Unpopular
Many,Normal,Many,Many,Many,Many,Few,Tech,Normal,Normal,Normal,Monday,Popular
Many,Normal,Few,Many,Many,Many,Many,World,Few,Few,Few,Monday,Unpopular
Few,Few,Many,Normal,Many,Many,Few,Social Media,Many,Normal,Normal,Monday,Unpopular
